Price per carat,Size,Colour,Clarity,Month,Year,Rapper,Rappri
2538,1.01-1.09,I,I1,Jun,2017,-29.5,3600
3720,1.01-1.09,J,IF,Jun,2017,-40,6200
3660,1.01-1.09,J,VVS1,Jun,2017,-39,6000
3746.5,1.01-1.09,J,VVS2,Jun,2017,-36.5,5900
3705,1.01-1.09,J,VS1,Jun,2017,-35,5700
3685,1.01-1.09,J,VS2,Jun,2017,-33,5500
3315,1.01-1.09,J,SI1,Jun,2017,-35,5100
2961,1.01-1.09,J,SI2,Jun,2017,-37,4700
2096,1.01-1.09,J,I1,Jun,2017,-34.5,3200
3009,1.01-1.09,K,IF,Jun,2017,-41,5100
3038,1.01-1.09,K,VVS1,Jun,2017,-38,4900
3008,1.01-1.09,K,VVS2,Jun,2017,-36,4700
3015,1.01-1.09,K,VS1,Jun,2017,-33,4500
2924,1.01-1.09,K,VS2,Jun,2017,-32,4300
2706,1.01-1.09,K,SI1,Jun,2017,-34,4100
2394,1.01-1.09,K,SI2,Jun,2017,-37,3800
1965,1.01-1.09,K,I1,Jun,2017,-34.5,3000
2806,1.01-1.09,L,IF,Jun,2017,-39,4600
2684,1.01-1.09,L,VVS1,Jun,2017,-39,4400
2709,1.01-1.09,L,VVS2,Jun,2017,-37,4300
2788,1.01-1.09,L,VS1,Jun,2017,-32,4100
2691,1.01-1.09,L,VS2,Jun,2017,-31,3900
2394,1.01-1.09,L,SI1,Jun,2017,-33.5,3600
2133.5,1.01-1.09,L,SI2,Jun,2017,-37.3,3400
1834,1.01-1.09,L,I1,Jun,2017,-34.5,2800
2419,1.01-1.09,M,IF,Jun,2017,-41,4100
2320.5,1.01-1.09,M,VVS1,Jun,2017,-40.5,3900
2275.5,1.01-1.09,M,VVS2,Jun,2017,-38.5,3700
2340,1.01-1.09,M,VS1,Jun,2017,-35,3600
2244,1.01-1.09,M,VS2,Jun,2017,-34,3400
2080,1.01-1.09,M,SI1,Jun,2017,-35,3200
1827,1.01-1.09,M,SI2,Jun,2017,-37,2900
1637.5,1.01-1.09,M,I1,Jun,2017,-34.5,2500
12627,1.01-1.09,D,IF,Jul,2017,-39,20700
10065,1.01-1.09,D,VVS1,Jul,2017,-39,16500
9072,1.01-1.09,D,VVS2,Jul,2017,-37,14400
7865,1.01-1.09,D,VS1,Jul,2017,-35,12100
7062,1.01-1.09,D,VS2,Jul,2017,-34,10700
5330,1.01-1.09,D,SI1,Jul,2017,-35,8200
4416,1.01-1.09,D,SI2,Jul,2017,-36,6900
3313.5,1.01-1.09,D,I1,Jul,2017,-29.5,4700
9577,1.01-1.09,E,IF,Jul,2017,-39,15700
8866,1.01-1.09,E,VVS1,Jul,2017,-38,14300
7371,1.01-1.09,E,VVS2,Jul,2017,-37,11700
6955,1.01-1.09,E,VS1,Jul,2017,-35,10700
6222.5,1.01-1.09,E,VS2,Jul,2017,-34.5,9500
5135,1.01-1.09,E,SI1,Jul,2017,-35,7900
4224,1.01-1.09,E,SI2,Jul,2017,-36,6600
3172.5,1.01-1.09,E,I1,Jul,2017,-29.5,4500
8246,1.01-1.09,F,IF,Jul,2017,-38,13300
7860,1.01-1.09,F,VVS1,Jul,2017,-34.5,12000
6955,1.01-1.09,F,VVS2,Jul,2017,-35,10700
6566,1.01-1.09,F,VS1,Jul,2017,-33,9800
5934,1.01-1.09,F,VS2,Jul,2017,-31,8600
5016,1.01-1.09,F,SI1,Jul,2017,-34,7600
4063.5,1.01-1.09,F,SI2,Jul,2017,-35.5,6300
3102,1.01-1.09,F,I1,Jul,2017,-29.5,4400
6710,1.01-1.09,G,IF,Jul,2017,-39,11000
6720,1.01-1.09,G,VVS1,Jul,2017,-36,10500
6175,1.01-1.09,G,VVS2,Jul,2017,-35,9500
5848,1.01-1.09,G,VS1,Jul,2017,-32,8600
5411.5,1.01-1.09,G,VS2,Jul,2017,-31.5,7900
4686,1.01-1.09,G,SI1,Jul,2017,-34,7100
3805.5,1.01-1.09,G,SI2,Jul,2017,-35.5,5900
2961,1.01-1.09,G,I1,Jul,2017,-29.5,4200
5429,1.01-1.09,H,IF,Jul,2017,-39,8900
5611.5,1.01-1.09,H,VVS1,Jul,2017,-35.5,8700
5305.5,1.01-1.09,H,VVS2,Jul,2017,-34.5,8100
5168,1.01-1.09,H,VS1,Jul,2017,-32,7600
4968,1.01-1.09,H,VS2,Jul,2017,-31,7200
4322.5,1.01-1.09,H,SI1,Jul,2017,-33.5,6500
3640,1.01-1.09,H,SI2,Jul,2017,-35,5600
2820,1.01-1.09,H,I1,Jul,2017,-29.5,4000
4788,1.01-1.09,I,IF,Jul,2017,-37,7600
4773,1.01-1.09,I,VVS1,Jul,2017,-35.5,7400
4485,1.01-1.09,I,VVS2,Jul,2017,-35,6900
4455.5,1.01-1.09,I,VS1,Jul,2017,-33.5,6700
4352,1.01-1.09,I,VS2,Jul,2017,-32,6400
3870,1.01-1.09,I,SI1,Jul,2017,-35.5,6000
3276,1.01-1.09,I,SI2,Jul,2017,-37,5200
2538,1.01-1.09,I,I1,Jul,2017,-29.5,3600
